,0
0,0.9594594594594594
1,1.0
2,0.9677819083023544
3,1.0
4,1.0
5,0.9020510673922143
6,0.914234306277489
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.9677819083023544
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,0.9225268176400476
23,0.8368769606134542
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9007212558336869
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,0.9594594594594594
40,1.0
41,1.0
42,1.0
43,0.7148196295092623
44,1.0
45,1.0
46,0.9594594594594594
47,1.0
48,1.0
49,1.0
