,0
0,0.961015593762495
1,1.0
2,0.7709599027946537
3,0.8410110069302894
4,0.5480404551201011
5,0.7398979992153786
6,0.8499392466585662
7,0.798569725864124
8,0.8183475091130012
9,0.9033457249070632
10,0.9007212558336869
11,0.8915375446960667
12,0.7869822485207101
13,0.7086290623832648
14,0.8999210422424003
15,0.7435174746335964
16,0.7422552664188352
17,0.8873700423565652
18,0.8959786622897005
19,0.8760429082240763
20,0.7435174746335964
21,0.9183758894935119
22,0.7905824039653035
23,0.9372233400402414
24,0.7255610498288323
25,0.5584905660377358
26,0.7018108651911469
27,0.9686116700201207
28,0.7613501776549546
29,0.9046066041581736
30,0.8041021347844286
31,0.789484206317473
32,0.7018108651911469
33,0.7014925373134329
34,0.8229372285827082
35,0.8917129431866724
36,0.7935727788279773
37,0.9215291750503019
38,1.0
39,0.9244478884153429
40,0.7795321637426901
41,0.7972972972972973
42,0.6445929526123937
43,0.7377661561449383
44,0.9183758894935119
45,0.7620876638047899
46,0.7219251336898396
47,0.7728297632468997
48,0.8621621621621621
49,0.9338141705557913
