,0
0,0.012977123290548915
1,0.004803209177120538
2,0.004803209177120538
3,0.0036514672173072918
4,0.0026616883236908746
5,0.0026616883236908746
6,0.0
7,0.0
8,0.0
9,0.0
10,0.01929213652730762
11,0.002023329873146014
12,0.004803209177120538
13,0.012086564724177117
14,0.0026616883236908746
15,0.003413269525133276
16,0.003413269525133276
17,-0.0007565494308285096
18,0.016644487665062956
19,0.0
20,0.004803209177120538
21,0.0006333902211587522
22,0.0
23,0.004803209177120538
24,0.002154886619811696
25,0.0
26,0.003413269525133276
27,0.007285490295024059
28,-0.0007565494308285096
29,0.008141209009794079
30,0.009221689413500553
31,0.008141209009794079
32,0.004803209177120538
33,0.004803209177120538
34,0.004803209177120538
35,0.009370686470828391
36,0.004803209177120538
37,0.0
38,0.0030142195469209003
39,0.009370686470828391
40,0.0
41,0.010386079906037472
42,0.0006333902211587522
43,0.0
44,0.01113437020478527
45,0.002023329873146014
46,0.01973291142041557
47,0.0006333902211587522
48,0.0
49,0.00996284726714848
