,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.9058663028649386
7,1.0
8,1.0
9,1.0
10,1.0
11,0.8334756618274979
12,1.0
13,0.9497073703005654
14,1.0
15,0.9801121876593575
16,1.0
17,1.0
18,0.9648613474822304
19,1.0
20,1.0
21,0.8828828828828829
22,0.9346733668341709
23,0.9487723552591695
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9389033942558747
30,1.0
31,1.0
32,0.5779716466739367
33,0.8575709336080157
34,0.9514724180837827
35,0.9841269841269841
36,1.0
37,0.6309148264984227
38,1.0
39,0.8286056731921694
40,1.0
41,1.0
42,1.0
43,0.8560885608856088
44,0.8777693720955366
45,1.0
46,1.0
47,0.9175475687103594
48,1.0
49,1.0
