,0
0,0.0
1,0.8099415204678363
2,0.9338141705557913
3,0.6940605155024281
4,0.8047337278106509
5,0.8026981450252951
6,0.22075715903575474
7,1.0
8,0.8507462686567164
9,0.36427745664739886
10,0.9125887187149795
11,0.2101193106495802
12,0.6537462104807276
13,0.29149169253240825
14,1.0
15,1.0
16,0.0
17,1.0
18,0.0
19,0.8094462540716613
20,0.06974992467610726
21,0.8410110069302894
22,0.0
23,0.9599917931883464
24,0.0997476075297087
25,1.0
26,0.7021637675010607
27,0.9510255336961072
28,1.0
29,0.8967863894139887
30,0.9033457249070632
31,0.17657841140529532
32,0.47483010319657687
33,0.9921020656136087
34,0.4134101771155468
35,1.0
36,0.8805970149253731
37,0.8109987357774968
38,0.9250320375907731
39,0.9307145677062771
40,1.0
41,0.6482965931863728
42,0.8275099513489607
43,0.9921020656136087
44,0.9424778761061947
45,0.11907417735638595
46,0.7973339358337099
47,0.6162272558484961
48,0.46269202633504025
49,0.6166351606805293
