,0
0,0.9594594594594594
1,1.0
2,0.9677819083023544
3,0.961508093170154
4,0.9594594594594594
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.9759950759130078
13,0.9759950759130078
14,1.0
15,1.0
16,0.9250320375907731
17,1.0
18,1.0
19,1.0
20,1.0
21,0.9594594594594594
22,0.9307145677062771
23,0.9677819083023544
24,1.0
25,1.0
26,0.9759950759130078
27,1.0
28,0.9841011006930289
29,1.0
30,0.9677819083023544
31,0.9759950759130078
32,0.9131227217496962
33,0.9677819083023544
34,1.0
35,1.0
36,1.0
37,0.9841011006930289
38,0.9677819083023544
39,1.0
40,0.9677819083023544
41,0.9677819083023544
42,1.0
43,1.0
44,1.0
45,1.0
46,0.9759950759130078
47,0.9677819083023544
48,0.9841011006930289
49,1.0
