,0
0,1.0
1,1.0
2,0.7645376549094376
3,1.0
4,1.0
5,0.7898617511520737
6,0.7658175842235004
7,0.9014693171996543
8,0.8686257562662058
9,0.8712955122777307
10,0.8144833197721725
11,1.0
12,1.0
13,0.8925541941564562
14,1.0
15,0.7283126787416587
16,0.9114631873252563
17,0.9014693171996543
18,0.7132075471698113
19,1.0
20,0.8144833197721725
21,1.0
22,1.0
23,0.7898617511520737
24,1.0
25,0.7851083883129123
26,0.8567389255419415
27,0.7434908389585342
28,0.8144833197721725
29,0.8406337371854613
30,1.0
31,1.0
32,1.0
33,1.0
34,0.7898617511520737
35,1.0
36,1.0
37,0.8567389255419415
38,1.0
39,1.0
40,0.8949308755760369
41,1.0
42,0.8599078341013825
43,1.0
44,0.5314730694354315
45,1.0
46,0.7801350048216008
47,0.7851083883129123
48,0.8423236514522822
49,0.9014693171996543
