,0
0,1.0
1,1.0
2,1.0
3,0.9759950759130078
4,1.0
5,1.0
6,0.9250320375907731
7,1.0
8,1.0
9,0.9677819083023544
10,0.9690107270560191
11,1.0
12,0.9071026418362927
13,1.0
14,1.0
15,0.9594594594594594
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9759950759130078
21,1.0
22,1.0
23,0.9759950759130078
24,1.0
25,0.9677819083023544
26,0.9046066041581736
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,0.9594594594594594
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,0.9759950759130078
41,0.9921020656136087
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
