,0
0,1.0
1,0.8249744114636642
2,0.9073170731707317
3,1.0
4,1.0
5,0.9073170731707317
6,0.926711668273867
7,0.926711668273867
8,1.0
9,0.9456625357483317
10,1.0
11,0.9073170731707317
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.926711668273867
18,1.0
19,1.0
20,0.9073170731707317
21,0.9073170731707317
22,1.0
23,1.0
24,0.926711668273867
25,1.0
26,1.0
27,1.0
28,0.8874629812438302
29,1.0
30,1.0
31,0.926711668273867
32,0.9073170731707317
33,1.0
34,0.6849740932642487
35,1.0
36,1.0
37,0.846309403437816
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,0.7371252882398155
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
